,Hotel,Price €,Street,Area,Zip
57,Hotel Riu Plaza Berlin,€ 89,Martin-Luther-Strasse 1, Tempelhof-Schöneberg," 10777 Berlin, Germany"
58,Park Inn by Radisson Berlin Alexanderplatz,€ 93,Alexanderplatz 7, Mitte," 10178 Berlin, Germany"
59,Leonardo Royal Hotel Berlin Alexanderplatz,€ 89,Otto-Braun-Str. 90, Friedrichshain-Kreuzberg," 10249 Berlin, Germany"
61,Meliá Berlin,€ 148,Friedrichstr. 103, Mitte," 10117 Berlin, Germany"
63,H+ Hotel Berlin Mitte,€ 120,Chausseestr. 118-120, Mitte," 10115 Berlin, Germany"
64,H4 Hotel Berlin Alexanderplatz,€ 98,Karl-Liebknecht-Strasse 32, Mitte," 10178 Berlin, Germany"
65,Maritim Hotel Berlin,€ 128,Stauffenbergstr. 26, Mitte," 10785 Berlin, Germany"
68,Motel One Berlin-Upper West,€ 99,Kantstraße 163-165, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
69,H+ Hotel 4Youth,€ 90,Bernauer Str. 45/46, Mitte," 10435 Berlin, Germany"
72,SO/ Berlin Das Stue,€ 217,Drakestrasse 1, Mitte," 10787 Berlin, Germany"
73,Maritim proArte Hotel Berlin,€ 163,Friedrichstraße 151, Mitte," 10117 Berlin, Germany"
75,PLUS Berlin Hostel und Hotel,€ 63,Warschauer Platz 6, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
76,ARCOTEL Velvet Berlin,€ 90,Oranienburger Str. 52, Mitte," 10117 Berlin, Germany"
77,Hilton Berlin,€ 185,Mohrenstr. 30, Mitte," 10117 Berlin, Germany"
78,Mercure Hotel MOA Berlin,€ 108,Stephanstr. 41, Mitte," 10559 Berlin, Germany"
79,Eurostars Berlin,€ 148,Friedrichstr. 99, Mitte," 10117 Berlin, Germany"
80,MEININGER Hotel Berlin Hauptbahnhof,€ 119,Ella-Trebe-Straße 9, Mitte," 10557 Berlin, Germany"
82,Savoy Berlin,€ 96,Fasanenstr. 9-10, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
83,Mercure Airport Hotel Berlin Tegel,€ 137,Kurt Schumacher Damm 202, Reinickendorf," 13405 Berlin, Germany"
84,nhow Berlin,€ 113,Stralauer Allee 3, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
85,MEININGER Hotel Berlin East Side Gallery,€ 74,Am Postbahnhof 4, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
86,Titanic Chaussee Berlin,€ 143,Chausseestraße 30, Mitte," 10115 Berlin, Germany"
87,TWO Hotel Berlin by Axel - Adults Only,€ 70,Bundesallee 31a, Charlottenburg-Wilmersdorf," 10717 Berlin, Germany"
89,ARCOTEL John F Berlin,€ 123,Werderscher Markt 11, Mitte," 10117 Berlin, Germany"
90,Sheraton Berlin Grand Hotel Esplanade,€ 155,Lützowufer 15, Mitte," 10785 Berlin, Germany"
91,Hampton by Hilton Berlin City West,€ 108,Uhlandstraße 188-189, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
92,ibis Berlin Kurfuerstendamm,€ 78,Bayreuther Strasse 39, Tempelhof-Schöneberg," 10787 Berlin, Germany"
93,Sofitel Berlin Kurfürstendamm,€ 170,Augsburger Str. 41, Charlottenburg-Wilmersdorf," 10789 Berlin, Germany"
94,MOXY Berlin Humboldthain Park,€ 78,Hochstrasse 2, Mitte," 13357 Berlin, Germany"
96,Leonardo Hotel Berlin,€ 67,Wilmersdorfer Str. 32 (Entrance at Spielhagen Str.), Charlottenburg-Wilmersdorf," 10585 Berlin, Germany"
97,Holiday Inn Express Berlin City Centre,€ 113,Stresemannstr. 49, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
98,Sir Savigny Hotel,€ 156,Kantstr. 144, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
99,SANA Berlin Hotel,€ 95,Nürnberger Straße 33/34, Charlottenburg-Wilmersdorf," 10777 Berlin, Germany"
100,Living Hotel Großer Kurfürst,€ 95,Neue Rossstr. 11-12, Mitte," 10179 Berlin, Germany"
101,Waldorf Astoria Berlin,€ 224,Hardenbergstr. 28, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
104,Mercure Hotel Berlin Tempelhof,€ 80,Hermannstr. 214-216, Neukölln," 12049 Berlin, Germany"
105,Hotel Gat Point Charlie,€ 85,Mauerstr. 81-82, Mitte," 10117 Berlin, Germany"
106,Motel One Berlin-Bellevue,€ 88,Paulstraße 21, Mitte," 10557 Berlin, Germany"
107,NH Collection Berlin Mitte Friedrichstrasse,€ 174,Friedrichstr. 96, Mitte," 10117 Berlin, Germany"
109,"The Ritz-Carlton, Berlin",€ 228,Potsdamer Platz 3, Mitte," 10785  Berlin, Germany"
110,Rocco Forte Hotel De Rome,€ 326,Behrenstraße 37, Mitte," 10117 Berlin, Germany"
111,Moxy Berlin Ostbahnhof,€ 87,Andreasstrasse 76-78, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
112,ibis Berlin Messe,€ 72,Messedamm 10, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
113,ibis Styles Hotel Berlin Mitte,€ 79,Brunnenstr. 1-2, Mitte," 10119 Berlin, Germany"
114,Holiday Inn Berlin City East Side,€ 109,Wanda-Kallenbach-Strasse, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
116,Essential by Dorint Berlin-Adlershof,€ 127,Rudower Chaussee 15, Treptow-Köpenick," 12489 Berlin, Germany"
117,ibis Berlin Neukölln,€ 67,Jahnstr. 13, Neukölln," 12347 Berlin, Germany"
118,"Hotel am Steinplatz, Autograph Collection",€ 194,Steinplatz 4, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
119,InterContinental Berlin,€ 139,Budapester Str. 2, Mitte," 10787 Berlin, Germany"
120,B&B Hotel Berlin Potsdamer Platz,€ 69,Potsdamer Str. 90, Mitte," 10785 Berlin, Germany"
121,Select Hotel Berlin Ostbahnhof,€ 84,Lange Str. 31, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
123,Good Morning Berlin City West,€ 66,Kögelstr. 12-13, Reinickendorf," 13403 Berlin, Germany"
124,Hotel California Kurfürstendamm 35,€ 76,Kurfürstendamm 35, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
125,Hotel Bleibtreu Berlin by Golden Tulip,€ 65,Bleibtreustr. 31, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
126,ibis Styles Berlin an der Oper,€ 77,Bismarckstr. 100, Charlottenburg-Wilmersdorf," 10625 Berlin, Germany"
127,Hotel Domicil Berlin by Golden Tulip,€ 77,Kantstraße 111a, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
128,Hotel Morgenland,€ 77,Finckensteinallee 23-27, Steglitz-Zehlendorf," 12205 Berlin, Germany"
130,Select Hotel Berlin The Wall,€ 124,Zimmerstr. 88, Mitte," 10117 Berlin, Germany"
131,Abba Berlin Hotel,€ 80,Lietzenburger Str. 89, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
132,Nu Hotel Berlin,€ 84,Gubener Straße 46/47, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
133,Hotel Indigo Berlin - East Side Gallery,€ 113,Muhlenstrasse 13-19, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
135,Motel One Berlin Ku'Damm,€ 99,Kantstr. 7-11a, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
136,Provocateur Berlin,€ 94,Brandenburgische Str. 21, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
137,KPM Hotel & Residences,€ 134,Englische Str. 6, Charlottenburg-Wilmersdorf," 10587 Berlin, Germany"
138,Holiday Inn Berlin City Center East Prenzlauer Berg,€ 87,Prenzlauer Allee 169, Prenzlauer Berg," 10409 Berlin, Germany"
139,OYO Hotel Bohemia,€ 73,Karl-Marx-Str. 262, Neukölln," 12057 Berlin, Germany"
140,ibis Berlin City West,€ 67,Brandenburgische Str. 11, Charlottenburg-Wilmersdorf," 10713 Berlin, Germany"
141,Hotel Vita Berlin-Messe,€ 116,12-14 Heerstraße 4. OG, Charlottenburg-Wilmersdorf," 14052 Berlin, Germany"
142,ibis Berlin City Potsdamer Platz,€ 76,Anhalter Str. 4, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
144,NH Berlin Kurfürstendamm,€ 90,Grolmanstr. 41-43, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
145,Best Western Hotel Berlin Mitte,€ 75,Albrechtstr. 25/Ecke Reinhardtstr., Mitte," 10117 Berlin, Germany"
146,Hotel am Borsigturm,€ 125,Am Borsigturm 1, Reinickendorf," 13507 Berlin, Germany"
147,Hotel Palace Berlin,€ 149,Budapester Str. 45, Charlottenburg-Wilmersdorf," 10787 Berlin, Germany"
148,The Student Hotel Berlin,€ 78,Alexanderstraße 40, Mitte," 10179 Berlin, Germany"
149,Best Western Hotel Kantstrasse Berlin,€ 77,Kantstr. 111, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
150,Capri by Fraser Berlin,€ 113,SCHARRENSTRASSE 22, Mitte," 10178 Berlin, Germany"
151,Hotel Comenius,€ 79,Grünberger Str. 22, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
152,Exe Klee Berlin Excellence Class,€ 86,Bundesallee 75, Tempelhof-Schöneberg," 12161 Berlin, Germany"
153,Best Western Plus Plaza Berlin Kurfürstendamm,€ 79,Kurfürstendamm 203, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
154,the niu Hide,€ 92,Frankfurter Allee 113, Lichtenberg," 10365 Berlin, Germany"
155,NH Berlin City Ost,€ 85,Rathausstr. 2-3, Lichtenberg," 10367 Berlin, Germany"
157,Novum Hotel Aldea Berlin Centrum,€ 72,Bülowstr. 20-22, Tempelhof-Schöneberg," 10783 Berlin, Germany"
158,Hotel Zoo Berlin,€ 170,Kurfürstendamm 25, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
159,art'otel berlin mitte,€ 92,Wallstr. 70-73, Mitte," 10179 Berlin, Germany"
160,AMBER ECONTEL Berlin Charlottenburg,€ 74,Sömmeringstraße 24-26, Charlottenburg-Wilmersdorf," 10589 Berlin, Germany"
161,Victor's Residenz-Hotel Berlin Tegel,€ 103,Holländerstr. 31, Reinickendorf," 13407 Berlin, Germany"
162,Leonardo Hotel Berlin City West,€ 80,Güntzelstr. 14, Charlottenburg-Wilmersdorf," 10717 Berlin, Germany"
163,ABACUS Tierpark Hotel,€ 92,Franz-Mett-Str. 3-9, Lichtenberg," 10319 Berlin, Germany"
165,Select Hotel Berlin Gendarmenmarkt,€ 120,Charlottenstr. 66, Mitte," 10117 Berlin, Germany"
166,Catalonia Berlin Mitte,€ 99,Köpenicker Strasse, 80-82," Mitte, 10179 Berlin, Germany"
167,Hotel AMANO,€ 99,Auguststr. 43/Ecke Rosenthaler Str., Mitte," 10119 Berlin, Germany"
168,Select Hotel Berlin Checkpoint Charlie,€ 120,Hedemannstr. 11-12, Friedrichshain-Kreuzberg," 10969 Berlin, Germany"
169,Hampton By Hilton Berlin City East Side Gallery,€ 88,Mildred-Harnack-Straße 15, Friedrichshain-Kreuzberg," 10243 Berlin, Germany"
170,Novum Style Hotel Berlin Centrum,€ 85,Franklinstr. 23, Charlottenburg-Wilmersdorf," 10587 Berlin, Germany"
171,Novum Hotel Gates Berlin Charlottenburg,€ 144,Knesebeckstr. 8-9, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
172,Almodovar Hotel Berlin - Biohotel,€ 131,Boxhagener Str. 83, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
173,Mercure Hotel Berlin City West,€ 113,Ohmstr. 4-6, Spandau," 13629 Berlin, Germany"
175,The Mandala Hotel,€ 162,Potsdamer Str. 3, Mitte," 10785 Berlin, Germany"
176,Hotel 103,€ 77,Schönhauser Allee 103, Prenzlauer Berg," 10439 Berlin, Germany"
177,Ellington Hotel Berlin,€ 99,Nürnberger Str. 50-55, Charlottenburg-Wilmersdorf," 10789 Berlin, Germany"
178,Crowne Plaza Berlin - Potsdamer Platz,€ 131,Hallesche Str. 10-14, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
179,Mercure Berlin Alexanderplatz,€ 77,Mollstr. 4, Mitte," 10178 Berlin, Germany"
180,Centro Park Hotel Berlin-Neukölln,€ 62,Buschkrugallee 60-62, Neukölln," 12359 Berlin, Germany"
181,Centro Hotel Berlin City West,€ 79,Emser Str. 6, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
182,Leonardo Boutique Hotel Berlin City South,€ 62,Rudower Straße 80-82, Neukölln," 12351 Berlin, Germany"
183,Hotel Jurine Berlin Mitte,€ 104,Schwedter Str. 15, Mitte," 10119 Berlin, Germany"
185,Hotel Indigo Berlin – Ku’damm,€ 100,Hardenbergstr. 15, Charlottenburg-Wilmersdorf," 10623 Berlin, Germany"
186,Novum Hotel City B Berlin Centrum,€ 78,Potsdamer Str. 129, Tempelhof-Schöneberg," 10783 Berlin, Germany"
187,Hotel Berliner Bär,€ 89,Ringbahnstr. 6-8, Tempelhof-Schöneberg," 12099  Berlin, Germany"
188,Ivbergs Hotel Berlin Messe,€ 77,Heerstr. 5, Charlottenburg-Wilmersdorf," 14052 Berlin, Germany"
189,Hotel 26,€ 84,Grünberger Straße 26, Friedrichshain-Kreuzberg," 10245 Berlin, Germany"
190,Pestana Berlin Tiergarten,€ 92,Stülerstraße 6, Mitte," 10787 Berlin, Germany"
193,Hotel Mit-Mensch,€ 52,Ehrlichstrasse 47-48, Lichtenberg," 10318 Berlin, Germany"
194,Concorde Hotel am Studio,€ 80,Kaiserdamm 80, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
195,Hotel Alt Tempelhof,€ 97,Luise-Henriette-Str. 4, Tempelhof-Schöneberg," 12103 Berlin, Germany"
196,Old Town Hotel,€ 92,Greifswalder Straße 211, Prenzlauer Berg," 10405 Berlin, Germany"
197,Hotel Panorama am KURFÜRSTENDAMM,€ 73,Lewishamstraße 1, Charlottenburg-Wilmersdorf," 10629 Berlin, Germany"
200,Hotel Arena Inn - Berlin Mitte,€ 85,Müllerstraße 163, Mitte," 13353 Berlin, Germany"
202,Alecsa Hotel am Olympiastadion,€ 67,Glockenturmstr. 30, Charlottenburg-Wilmersdorf," 14055 Berlin, Germany"
203,Erlanger Hof,€ 85,Erlanger Straße 4, Neukölln," 12053 Berlin, Germany"
204,Hotel Lindenufer,€ 75,Breite Str. 36, Spandau," 13597 Berlin, Germany"
206,Queens Park Hotel,€ 79,Königin-Elisabeth-Str. 47a, Charlottenburg-Wilmersdorf," 14059 Berlin, Germany"
207,Lulu Guldsmeden,€ 139,Potsdamer Straße 67, Mitte," 10785 Berlin, Germany"
208,Hotel Lützow,€ 72,Keithstraße 38, Mitte," 10787 Berlin, Germany"
209,MEININGER Hotel Berlin Alexanderplatz,€ 79,Schönhauser Allee 19, Prenzlauer Berg," 10435 Berlin, Germany"
210,Hotel City Green Berlin,€ 68,Bruno-Taut-Straße 6, Treptow-Köpenick," 12524 Berlin, Germany"
212,Holiday Inn Berlin City-East Landsberger Allee,€ 83,Landsberger Allee 203, Lichtenberg," 13055 Berlin, Germany"
213,Hotel AMO by AMANO,€ 104,Friedrichstraße 113, Mitte," 10117 Berlin, Germany"
214,Boutique Hotel i31 Berlin Mitte,€ 108,Invalidenstraße 31, Mitte," 10115 Berlin, Germany"
215,Die Botschaft,€ 66,Treskowallee 92, Lichtenberg," 10318 Berlin, Germany"
216,Hotel Pankow,€ 62,Pasewalkerstr. 14-15, Pankow," 13127 Berlin, Germany"
217,Hotel Prens Berlin,€ 65,Kottbusser Damm 102, Friedrichshain-Kreuzberg," 10967 Berlin, Germany"
218,Axel Hotel Berlin-Adults Only,€ 79,Lietzenburger Str. 13/15, Tempelhof-Schöneberg," 10789 Berlin, Germany"
219,a&o Berlin Kolumbus,€ 66,Genslerstraße 18, Lichtenberg," 13055 Berlin, Germany"
220,Novum Hotel Lichtburg am Kurfürstendamm,€ 54,Paderborner Str. 10, Charlottenburg-Wilmersdorf," 10709 Berlin, Germany"
222,Hotel Indigo Berlin-Alexanderplatz,€ 100,Bernhard-Weiss-Str. 5, Mitte," 10178 Berlin, Germany"
223,Hotel Sachsenhof,€ 89,Motzstr. 7, Tempelhof-Schöneberg," 10777 Berlin, Germany"
224,Hotel Ambiente Berlin City,€ 75,Gossowstraße 11, Tempelhof-Schöneberg," 10777 Berlin, Germany"
225,Hotel Transit,€ 69,Hagelberger Str. 53-54, Friedrichshain-Kreuzberg," 10965 Berlin, Germany"
226,Les Nations,€ 103,Zinzendorfstr. 6, Mitte," 10555 Berlin, Germany"
227,Hotel am Buschkrugpark,€ 99,Buschkrugallee 107, Neukölln," 12359 Berlin, Germany"
228,Hotel Johann,€ 113,Johanniterstr. 8, Friedrichshain-Kreuzberg," 10961 Berlin, Germany"
229,City Hotel Berlin East,€ 73,Landsberger Allee 203, Lichtenberg," 13055  Berlin, Germany"
230,Hotel-Pension Gribnitz,€ 65,Kaiserdamm 82, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
231,Hotel Atrium Charlottenburg,€ 65,Kaiser-Friedrich-Str. 53, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
232,Hotel Messe am Funkturm,€ 53,Wundtstr. 72, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
236,Hotel Am Stuttgarter Eck,€ 58,Kaiser-Friedrich-Str. 54a, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
237,Hotel Atlas,€ 65,Bernhard Str. 9, Charlottenburg-Wilmersdorf," 10715 Berlin, Germany"
239,Apple City Hotel,€ 75,Wilhelmshavener Str. 71, Mitte," 10551 Berlin, Germany"
241,Hotel Kiez Pension Berlin,€ 63,Jungstr. 41, Friedrichshain-Kreuzberg," 10247 Berlin, Germany"
242,acama Hotel & Hostel Kreuzberg,€ 70,Tempelhofer Ufer 8/9, Friedrichshain-Kreuzberg," 10963 Berlin, Germany"
244,Hotel Pension Messe,€ 53,Neue Kantstr. 5, Charlottenburg-Wilmersdorf," 14057 Berlin, Germany"
245,Angleterre Hotel,€ 163,Friedrichstr. 31, Friedrichshain-Kreuzberg," 10969 Berlin, Germany"
247,Hotel ZOE by AMANO Group,€ 80,Große Präsidentenstraße 6-7, Mitte," 10178 Berlin, Germany"
248,Adele Designhotel,€ 86,Greifswalder Straße 227, Prenzlauer Berg," 10405 Berlin, Germany"
249,Hotel Benn,€ 114,Ritterstr. 1a+15, Spandau," 13597 Berlin, Germany"
250,Hotel the YARD,€ 107,Alexandrinenstraße 125, Friedrichshain-Kreuzberg," 10969 Berlin, Germany"
251,Hotel-Pension Rheingold am Kurfürstendamm,€ 59,Xantener Str. 9, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
252,Hotel Hansablick,€ 89,Flotowstr. 6, Mitte," 10555 Berlin, Germany"
253,centrovital SPA & Sports Hotel,€ 141,Neuendorfer Str. 25, Spandau," 13585 Berlin, Germany"
254,AMADEUS am Kurfürstendamm,€ 58,Sybelstr.14, Charlottenburg-Wilmersdorf," 10629 Berlin, Germany"
256,ALFA Hotel,€ 92,Ufnaustraße 1, Mitte," 10553 Berlin, Germany"
258,Come Inn Berlin Kurfürstendamm,€ 91,Kurfürstendamm 180, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
259,Kurfürst am Kurfürstendamm,€ 69,Bleibtreustr. 34/35, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
260,"Hotel ""Helle Mitte"" Berlin",€ 75,7 Kurt-Weill-Gasse rezeption 1 Etage, Marzahn-Hellersdorf," 12627 Berlin, Germany"
261,Hotel Delta am Potsdamer Platz,€ 104,Pohlstr. 58, Mitte," 10785 Berlin, Germany"
262,Hotel Spreewitz am Kurfürstendamm,€ 71,Kantstr. 104, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
264,Artim Hotel,€ 97,Fuggerstr. 20, Tempelhof-Schöneberg," 10777 Berlin, Germany"
265,Good Morning + Berlin City East,€ 62,Ruschestr. 45, Lichtenberg," 10367 Berlin, Germany"
266,Hotel Abendstern,€ 72,Stuttgarter Platz 8, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
268,Hotel AI Königshof,€ 61,Stuttgarter Platz 7, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
270,Bornholmer Hof im Prenzlauer Berg,€ 84,Bornholmer Str. 92, Prenzlauer Berg," 10439  Berlin, Germany"
271,Hotel Haubach,€ 65,Haubachstrasse 22, Charlottenburg-Wilmersdorf," 10585 Berlin, Germany"
275,Hotel Wittelsbach am Kurfürstendamm,€ 75,Wittelsbacherstr. 22, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
276,Hotel Europa City,€ 95,Konstanzer Str. 60, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
277,Hotel Amadeus Central,€ 41,Hohenzollerndamm 57, Charlottenburg-Wilmersdorf," 14199 Berlin, Germany"
279,Hotel Comet am Kurfürstendamm,€ 58,Kurfürstendamm 175, Charlottenburg-Wilmersdorf," 10707 Berlin, Germany"
280,Hotel MANI by AMANO Group,€ 104,Torstraße 136, Mitte," 10119 Berlin, Germany"
281,Hotel Augusta Am Kurfürstendamm,€ 87,Fasanenstr. 22, Charlottenburg-Wilmersdorf," 10719 Berlin, Germany"
282,Hotel Elegia am Kurfürstendamm,€ 63,Niebuhrstr. 74, Charlottenburg-Wilmersdorf," 10629 Berlin, Germany"
283,Adrema Hotel,€ 101,Gotzkowskystr. 20-21, Mitte," 10555 Berlin, Germany"
284,Tom's Hotel (Gay Hotel),€ 70,Motzstr. 19, Tempelhof-Schöneberg," 10777 Berlin, Germany"
285,ibis Styles Berlin Treptow,€ 80,Spreestr. 14, Treptow-Köpenick," 12439 Berlin, Germany"
287,Brauhaus in Spandau,€ 108,Neuendorfer Straße 1 Brauhaus in Spandau, Spandau," 13585 Berlin, Germany"
288,Schlosshotel Berlin by Patrick Hellmann,€ 207,Brahmsstr. 10, Charlottenburg-Wilmersdorf," 14193 Berlin, Germany"
289,Art Hotel Charlottenburger Hof Berlin,€ 161,Stuttgarter Platz 14, Charlottenburg-Wilmersdorf," 10627 Berlin, Germany"
290,Aspria Berlin Ku'damm,€ 134,Karlsruher Str. 20, Charlottenburg-Wilmersdorf," 10711 Berlin, Germany"
291,Hotel Märkischer Hof,€ 58,Linienstr. 133, Mitte," 10115 Berlin, Germany"
292,"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",€ 125,91 Zimmerstraße, Mitte," 10117 Berlin, Germany"
