,hotel_name,area,price
198,Pension Thomas,Berlin,52
199,Quentin XL Potsdamer Platz Hotel,Mitte,235
200,Radisson Blu Hotel, Berlin,
201,Regent Berlin,Mitte,480
202,RixHouse - Hostel,Neukölln,68
203,SO/ Berlin Das Stue,Mitte,787
204,SO/ Berlin Das Stue,Mitte,787
205,SO/ Berlin Das Stue,Mitte,441
206,Safestay Berlin,Berlin,208
207,Schlosshotel Berlin by Patrick Hellmann,Charlottenburg-Wilmersdorf,428
208,Seminaris CampusHotel Lifestyle + Design Berlin,Berlin,186
209,Seminaris CampusHotel Lifestyle + Design Berlin,Berlin,186
210,Sheraton Berlin Grand Hotel Esplanade,Mitte,513
211,Sonnige Große Unterkunft im Herzen von Berlin,Mitte,314
212,Super Berlin Ferienwohnung,Pankow,275
213,Super Berlin Ferienwohnung,Pankow,275
214,TWO Hotel Berlin by Axel - Adults Only,Charlottenburg-Wilmersdorf,142
215,TWO Hotel Berlin by Axel - Adults Only,Charlottenburg-Wilmersdorf,251
216,Teikyo Berlin Jugendgästehaus,Berlin,41
217,Teikyo Berlin Jugendgästehaus,Berlin,41
218,Teikyo Hotel,Berlin,59
219,Teikyo Hotel,Berlin,59
220,The Aga's Hotel Berlin,Berlin,51
221,The Aga's Hotel Berlin,Berlin,51
222,The Belfort Berlin,Pankow,251
223,The Belfort Berlin,Pankow,238
224,The Circus Hostel,Mitte,46
225,The Circus Hostel,Mitte,46
226,The Kater,Berlin,210
227,The Kater,Berlin,210
228,The Kater,Berlin,223
229,The Ritz-Carlton, Berlin,
230,The Ritz-Carlton,Mitte,468
231,The Student Hotel Berlin,Mitte,156
232,The Weinmeister Berlin-Mitte-Adults Only,Mitte,294
233,The Westin Grand, Berlin,
234,The Westin Grand, Berlin,
235,Three Little Pigs Hostel Berlin,Berlin,114
236,Tom's Hotel - Caters to Gay Men,Berlin,302
237,Upper Room Hotel Kurfurstendamm,Charlottenburg-Wilmersdorf,213
238,Upstalsboom Hotel Friedrichshain,Berlin,133
239,Upstalsboom Hotel Friedrichshain,Berlin,133
240,Victor's Residenz-Hotel Berlin,Pankow,228
241,Victor's Residenz-Hotel Berlin Tegel,Berlin,207
242,Vienna House Andel's Berlin,Pankow,194
243,Vienna House Andel's Berlin,Pankow,194
244,Vienna House Easy Berlin,Pankow,169
245,Wilde Aparthotels by Staycity Berlin Checkpoint Charlie,Mitte,226
246,Wilde Aparthotels by Staycity Berlin Checkpoint Charlie,Mitte,226
247,a&o Berlin Friedrichshain,Berlin,48
248,a&o Berlin Friedrichshain,Berlin,49
249,a&o Berlin Hauptbahnhof,Mitte,112
250,a&o Berlin Hauptbahnhof,Mitte,112
251,a&o Berlin Kolumbus,Lichtenberg,49
252,acama Hotel & Hostel Kreuzberg,Berlin,98
253,acama Hotel & Hostel Kreuzberg,Berlin,91
254,arabel Design Apartments Berlin,Mitte,277
255,arabel Design Apartments Berlin,Mitte,277
256,frederics Berlin City Hackescher Markt,Mitte,278
257,ibis Berlin Ostbahnhof,Berlin,139
258,ibis Styles Berlin Treptow,Berlin,113
259,ibis Styles Berlin Treptow,Berlin,113
260,monbijou Hotel Berlin,Mitte,350
261,one80º Hostel Berlin,Mitte,34
262,one80º Hostel Berlin,Mitte,34
263,pentahotel Berlin-Köpenick,Berlin,106
264,pentahotel Berlin-Köpenick,Berlin,106
