name,price,area,source
158890,89,Friedrichshain-Kreuzberg,airbnb
12860794,26,Friedrichshain-Kreuzberg,airbnb
9647360,44,Friedrichshain-Kreuzberg,airbnb
15497706,42,Friedrichshain-Kreuzberg,airbnb
17085975,125,Friedrichshain-Kreuzberg,airbnb
1698561,43,Friedrichshain-Kreuzberg,airbnb
13585638,31,Friedrichshain-Kreuzberg,airbnb
15205245,40,Friedrichshain-Kreuzberg,airbnb
2095852,26,Friedrichshain-Kreuzberg,airbnb
8753525,44,Friedrichshain-Kreuzberg,airbnb
17086209,125,Friedrichshain-Kreuzberg,airbnb
17085725,125,Friedrichshain-Kreuzberg,airbnb
14129862,22,Friedrichshain-Kreuzberg,airbnb
4627088,44,Friedrichshain-Kreuzberg,airbnb
12240750,26,Friedrichshain-Kreuzberg,airbnb
16498733,44,Friedrichshain-Kreuzberg,airbnb
4818718,41,Friedrichshain-Kreuzberg,airbnb
17529535,26,Friedrichshain-Kreuzberg,airbnb
8286890,31,Friedrichshain-Kreuzberg,airbnb
6124192,22,Friedrichshain-Kreuzberg,airbnb
17535401,31,Friedrichshain-Kreuzberg,airbnb
2649452,44,Friedrichshain-Kreuzberg,airbnb
15111612,53,Pankow,airbnb
7848994,30,Pankow,airbnb
6958928,62,Pankow,airbnb
711452,14,Pankow,airbnb
14725369,19,Pankow,airbnb
4231032,40,Pankow,airbnb
1751192,62,Pankow,airbnb
17511145,35,Pankow,airbnb
18420218,44,Pankow,airbnb
7266756,25,Pankow,airbnb
11509903,15,Pankow,airbnb
4214436,28,Pankow,airbnb
15044956,107,Pankow,airbnb
5477870,19,Pankow,airbnb
2788350,15,Pankow,airbnb
1669546,44,Pankow,airbnb
6386509,58,Pankow,airbnb
14114979,67,Pankow,airbnb
5455165,31,Pankow,airbnb
7346952,17,Pankow,airbnb
13243503,35,Pankow,airbnb
11158098,55,Pankow,airbnb
18573331,40,Pankow,airbnb
4415585,17,Friedrichshain-Kreuzberg,airbnb
14820520,40,Friedrichshain-Kreuzberg,airbnb
218524,75,Friedrichshain-Kreuzberg,airbnb
17085587,125,Friedrichshain-Kreuzberg,airbnb
17969678,89,Friedrichshain-Kreuzberg,airbnb
16523529,31,Friedrichshain-Kreuzberg,airbnb
10033158,28,Friedrichshain-Kreuzberg,airbnb
16979933,71,Friedrichshain-Kreuzberg,airbnb
3868587,35,Friedrichshain-Kreuzberg,airbnb
7472677,73,Friedrichshain-Kreuzberg,airbnb
10727312,62,Friedrichshain-Kreuzberg,airbnb
6103503,71,Friedrichshain-Kreuzberg,airbnb
2750479,17,Friedrichshain-Kreuzberg,airbnb
7644934,89,Friedrichshain-Kreuzberg,airbnb
11970605,71,Friedrichshain-Kreuzberg,airbnb
10851277,22,Friedrichshain-Kreuzberg,airbnb
11300710,40,Friedrichshain-Kreuzberg,airbnb
15350759,26,Friedrichshain-Kreuzberg,airbnb
16026081,25,Friedrichshain-Kreuzberg,airbnb
7537880,35,Friedrichshain-Kreuzberg,airbnb
14758161,96,Pankow,airbnb
10225181,80,Pankow,airbnb
11593493,20,Pankow,airbnb
15391381,53,Pankow,airbnb
10842974,62,Pankow,airbnb
18069718,22,Pankow,airbnb
14403184,26,Pankow,airbnb
697887,67,Pankow,airbnb
4952826,62,Pankow,airbnb
13288425,28,Pankow,airbnb
559530,31,Pankow,airbnb
16271850,30,Pankow,airbnb
17688189,35,Pankow,airbnb
804949,67,Pankow,airbnb
3668955,37,Neukölln,airbnb
12824701,35,Neukölln,airbnb
7531007,22,Neukölln,airbnb
16226268,44,Neukölln,airbnb
15049838,25,Neukölln,airbnb
3138533,39,Neukölln,airbnb
5372443,71,Neukölln,airbnb
2792747,62,Neukölln,airbnb
5151045,62,Neukölln,airbnb
8639205,53,Neukölln,airbnb
250067,49,Neukölln,airbnb
7720080,70,Neukölln,airbnb
18054420,58,Neukölln,airbnb
13071894,39,Neukölln,airbnb
16415384,76,Neukölln,airbnb
11042341,53,Neukölln,airbnb
1405939,35,Neukölln,airbnb
18115689,19,Neukölln,airbnb
18307810,43,Neukölln,airbnb
10047913,35,Neukölln,airbnb
11620103,38,Neukölln,airbnb
17975782,22,Neukölln,airbnb
6570690,35,Neukölln,airbnb
4266002,40,Neukölln,airbnb
18613469,16,Neukölln,airbnb
5913947,35,Treptow - Köpenick,airbnb
18497054,26,Treptow - Köpenick,airbnb
13295896,98,Neukölln,airbnb
17970395,71,Neukölln,airbnb
744276,35,Neukölln,airbnb
7455586,40,Neukölln,airbnb
16322628,22,Neukölln,airbnb
2179273,18,Neukölln,airbnb
3521369,331,Neukölln,airbnb
561391,22,Neukölln,airbnb
11412815,35,Neukölln,airbnb
11669993,16,Neukölln,airbnb
12110842,35,Neukölln,airbnb
14926792,19,Neukölln,airbnb
6917691,39,Neukölln,airbnb
17384231,17,Neukölln,airbnb
7559833,35,Neukölln,airbnb
7954062,24,Neukölln,airbnb
1982121,49,Neukölln,airbnb
439505,58,Neukölln,airbnb
11875590,71,Neukölln,airbnb
14560878,25,Neukölln,airbnb
9707484,39,Neukölln,airbnb
15342272,53,Neukölln,airbnb
15799655,67,Neukölln,airbnb
1247449,80,Neukölln,airbnb
2622916,40,Neukölln,airbnb
8882113,44,Treptow - Köpenick,airbnb
13103054,63,Treptow - Köpenick,airbnb
6660398,46,Lichtenberg,airbnb
14512324,44,Lichtenberg,airbnb
15889744,30,Marzahn - Hellersdorf,airbnb
15659984,49,Lichtenberg,airbnb
11629014,28,Charlottenburg-Wilm.,airbnb
8105601,17,Marzahn - Hellersdorf,airbnb
1491176,35,Friedrichshain-Kreuzberg,airbnb
17116816,26,Friedrichshain-Kreuzberg,airbnb
7021010,58,Friedrichshain-Kreuzberg,airbnb
7152649,40,Friedrichshain-Kreuzberg,airbnb
11779942,53,Friedrichshain-Kreuzberg,airbnb
17104733,40,Friedrichshain-Kreuzberg,airbnb
16512274,16,Friedrichshain-Kreuzberg,airbnb
18005246,46,Friedrichshain-Kreuzberg,airbnb
2010353,32,Friedrichshain-Kreuzberg,airbnb
14804978,35,Friedrichshain-Kreuzberg,airbnb
17932872,40,Friedrichshain-Kreuzberg,airbnb
